Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,GenderMapping,DeptToIncome(%),Age_group,IncomeOutlier,loanOutlier
37,50061,24300,424,16,Male,Bachelors,"San Francisco",Self-Employed,0,1,48,adulting,no,no
45,61898,17984,487,20,Female,PhD,Houston,Self-Employed,0,0,29,adulting,no,no
64,49752,16962,555,15,Female,Masters,"New York",Salaried,0,0,34,senior,no,no
24,53781,16268,829,25,Male,"High School",Chicago,Salaried,1,1,30,young,no,no
61,44358,1395,691,8,Male,Bachelors,"New York",Self-Employed,1,1,3,senior,no,no
25,76238,12265,767,1,Female,Masters,Chicago,Salaried,1,0,16,young,no,no
64,34726,29453,552,14,Male,"High School","New York",Self-Employed,0,1,84,senior,no,no
52,39511,15685,475,34,Male,"High School","San Francisco",Salaried,0,1,39,middle_age,no,no
31,42615,4796,765,23,Female,Masters,Houston,Self-Employed,1,0,11,adulting,no,no
34,58141,11936,588,37,Female,PhD,"New York",Self-Employed,0,0,20,adulting,no,no
53,34417,22879,349,13,Male,"High School","San Francisco",Unemployed,0,1,66,middle_age,no,no
67,49738,22720,303,36,Male,Bachelors,"New York",Salaried,0,1,45,senior,no,no
57,52474,17646,799,36,Female,"High School","San Francisco",Self-Employed,1,0,33,middle_age,no,no
21,39585,14486,522,5,Female,PhD,Chicago,Self-Employed,0,0,36,young,no,no
19,54950,8782,561,17,Female,Bachelors,"San Francisco",Salaried,0,0,15,young,no,no
23,34883,22945,834,21,Male,Bachelors,"New York",Salaried,0,1,65,young,no,no
59,33244,26703,675,17,Male,Bachelors,Houston,Salaried,0,1,80,middle_age,no,no
21,51494,30311,360,1,Male,Masters,Chicago,Unemployed,0,1,58,young,no,no
46,25104,11115,655,31,Female,"High School",Chicago,Salaried,0,0,44,middle_age,no,no
35,17828,30924,323,16,Male,PhD,"San Francisco",Unemployed,0,1,173,adulting,no,no
43,57992,19547,592,0,Female,Masters,"New York",Salaried,0,0,33,adulting,no,no
61,65735,20213,655,8,Male,Masters,"San Francisco",Unemployed,0,1,30,senior,no,no
51,42998,27149,328,12,Female,Bachelors,Chicago,Salaried,0,0,63,middle_age,no,no
27,39979,15672,656,35,Male,Masters,Houston,Unemployed,0,1,39,young,no,no
53,65083,2690,664,36,Female,"High School","San Francisco",Self-Employed,1,0,4,middle_age,no,no
31,32817,25639,708,29,Female,Masters,"New York",Unemployed,0,0,78,adulting,no,no
48,29549,22789,565,30,Female,Masters,"San Francisco",Unemployed,0,0,77,middle_age,no,no
65,60615,17118,590,22,Female,Bachelors,"San Francisco",Self-Employed,1,0,28,senior,no,no
32,50136,24980,452,27,Male,Bachelors,"San Francisco",Salaried,0,1,49,adulting,no,no
25,65973,26616,518,9,Female,Masters,Houston,Self-Employed,0,0,40,young,no,no
31,17896,7904,472,24,Male,Bachelors,"New York",Self-Employed,0,1,44,adulting,no,no
40,28990,20180,311,35,Male,Bachelors,"New York",Self-Employed,0,1,69,adulting,no,no
57,50215,1779,815,25,Female,PhD,Chicago,Unemployed,0,0,3,middle_age,no,no
38,56265,19010,661,25,Female,PhD,Chicago,Self-Employed,1,0,33,adulting,no,no
33,62705,17018,776,12,Male,Masters,"San Francisco",Salaried,1,1,27,adulting,no,no
62,52622,23935,381,16,Male,"High School",Chicago,Unemployed,0,1,45,senior,no,no
35,52470,11416,639,39,Male,"High School","New York",Unemployed,0,1,21,adulting,no,no
64,44159,16628,740,3,Male,Bachelors,"San Francisco",Self-Employed,1,1,37,senior,no,no
41,73864,-5728,525,22,Male,"High School",Chicago,Unemployed,0,1,-7,adulting,no,yes
43,33455,24460,670,34,Male,"High School",Houston,Salaried,0,1,73,adulting,no,no
42,55385,19293,327,10,Male,Masters,Chicago,Unemployed,0,1,34,adulting,no,no
62,35183,20698,315,11,Female,Bachelors,Houston,Self-Employed,0,0,58,senior,no,no
58,58022,8053,576,8,Male,"High School",Chicago,Self-Employed,0,1,13,middle_age,no,no
46,34445,23184,632,14,Male,PhD,"New York",Self-Employed,0,1,67,middle_age,no,no
32,61157,33222,782,36,Female,Bachelors,Chicago,Unemployed,0,0,54,adulting,no,no
62,51682,18521,587,4,Male,Bachelors,Houston,Self-Employed,0,1,35,senior,no,no
18,76170,25201,413,18,Male,Bachelors,Houston,Unemployed,0,1,33,,no,no
42,45785,13035,337,10,Female,PhD,Chicago,Self-Employed,0,0,28,adulting,no,no
24,56374,19385,753,8,Male,"High School","San Francisco",Self-Employed,1,1,34,young,no,no
26,38305,7749,465,34,Male,PhD,Houston,Self-Employed,0,1,20,young,no,no
41,45682,26305,504,26,Female,Bachelors,"New York",Salaried,0,0,57,adulting,no,no
18,51586,21279,544,12,Female,Bachelors,Chicago,Salaried,0,0,41,,no,no
61,27092,10246,632,11,Male,Masters,Houston,Self-Employed,0,1,37,senior,no,no
25,28736,13585,695,8,Female,Bachelors,Chicago,Self-Employed,0,0,47,young,no,no
41,58998,20489,575,27,Female,Masters,Chicago,Unemployed,0,0,34,adulting,no,no
28,47809,27391,420,12,Male,Masters,"San Francisco",Unemployed,0,1,57,young,no,no
68,41106,31836,558,19,Female,Bachelors,Chicago,Salaried,0,0,77,senior,no,no
34,38945,18927,709,12,Female,PhD,Chicago,Unemployed,0,0,48,adulting,no,no
25,39523,9083,609,26,Male,Masters,Chicago,Unemployed,0,1,22,young,no,no
52,51688,21908,367,25,Male,PhD,"New York",Unemployed,0,1,42,middle_age,no,no
52,56676,34279,413,28,Female,Masters,Chicago,Unemployed,0,0,60,middle_age,no,no
50,18618,7018,519,28,Female,"High School","New York",Salaried,0,0,37,middle_age,no,no
22,71193,12363,519,21,Male,Masters,Chicago,Salaried,0,1,17,young,no,no
59,70126,24888,772,8,Male,Bachelors,"San Francisco",Unemployed,0,1,35,middle_age,no,no
56,15040,21229,685,23,Female,Masters,"San Francisco",Unemployed,0,0,141,middle_age,no,no
58,66289,15640,597,18,Male,"High School",Houston,Salaried,0,1,23,middle_age,no,no
45,65828,21761,552,37,Male,PhD,Chicago,Self-Employed,0,1,33,adulting,no,no
24,50007,27820,704,30,Female,PhD,"San Francisco",Unemployed,0,0,55,young,no,no
26,30542,19213,791,38,Female,PhD,"San Francisco",Self-Employed,0,0,62,young,no,no
25,65228,18512,656,14,Male,Bachelors,Chicago,Unemployed,0,1,28,young,no,no
29,46382,24712,727,31,Male,PhD,Houston,Salaried,1,1,53,young,no,no
51,58233,17836,514,28,Female,Bachelors,"New York",Unemployed,0,0,30,middle_age,no,no
50,83288,29140,679,33,Male,"High School","San Francisco",Self-Employed,1,1,34,middle_age,no,no
65,53778,36214,513,8,Female,PhD,"San Francisco",Salaried,0,0,67,senior,no,no
40,49738,12856,397,34,Male,PhD,"New York",Unemployed,0,1,25,adulting,no,no
41,44964,10000,827,5,Male,PhD,"San Francisco",Unemployed,0,1,22,adulting,no,no
54,38158,22974,827,36,Male,"High School","New York",Salaried,0,1,60,middle_age,no,no
52,56502,9716,834,13,Female,Bachelors,"New York",Unemployed,0,0,17,middle_age,no,no
61,37909,9579,848,8,Female,Masters,Houston,Salaried,0,0,25,senior,no,no
57,49738,3606,627,18,Male,"High School","New York",Unemployed,0,1,7,middle_age,no,no
39,30734,16942,464,22,Male,"High School","New York",Salaried,0,1,55,adulting,no,no
44,48019,19736,415,27,Female,"High School","New York",Unemployed,0,0,41,adulting,no,no
52,52651,15861,449,15,Female,Bachelors,"New York",Salaried,0,0,30,middle_age,no,no
18,9728,31123,817,25,Male,Bachelors,"San Francisco",Salaried,0,1,319,,yes,no
52,53894,30527,331,37,Female,Bachelors,"New York",Unemployed,0,0,56,middle_age,no,no
54,49314,35431,592,39,Female,Bachelors,"San Francisco",Salaried,0,0,71,middle_age,no,no
64,38525,20372,476,24,Male,Bachelors,Chicago,Unemployed,0,1,52,senior,no,no
31,80429,29471,360,34,Male,PhD,Chicago,Unemployed,0,1,36,adulting,no,no
20,64377,22471,715,4,Female,Masters,"New York",Unemployed,0,0,34,young,no,no
18,33554,21667,575,6,Female,Masters,Houston,Salaried,0,0,64,,no,no
22,62574,16261,306,22,Male,Bachelors,Houston,Unemployed,0,1,25,young,no,no
43,68667,1895,384,24,Female,Bachelors,"San Francisco",Salaried,0,0,2,adulting,no,no
31,51980,25098,697,0,Male,PhD,"San Francisco",Self-Employed,1,1,48,adulting,no,no
56,55422,29233,692,21,Male,Bachelors,Chicago,Self-Employed,1,1,52,middle_age,no,no
44,49738,7795,346,3,Female,PhD,"San Francisco",Self-Employed,0,0,15,adulting,no,no
26,18713,19922,640,27,Male,PhD,Houston,Unemployed,0,1,106,young,no,no
32,47197,27933,575,13,Male,"High School",Chicago,Salaried,0,1,59,adulting,no,no
32,46416,17124,777,32,Male,"High School","New York",Unemployed,0,1,36,adulting,no,no
43,71452,29545,725,3,Male,Bachelors,"San Francisco",Salaried,1,1,41,adulting,no,no
59,55006,18878,725,10,Male,PhD,"New York",Self-Employed,1,1,34,middle_age,no,no
30,45536,15799,814,38,Female,Bachelors,"San Francisco",Self-Employed,1,0,34,young,no,no
68,48648,30002,428,31,Male,"High School",Houston,Self-Employed,0,1,61,senior,no,no
49,65351,12530,548,3,Male,"High School","San Francisco",Unemployed,0,1,19,middle_age,no,no
56,47231,14201,430,0,Male,"High School",Houston,Unemployed,0,1,30,middle_age,no,no
66,39527,12836,622,25,Female,"High School",Houston,Salaried,0,0,32,senior,no,no
69,45864,10859,842,32,Male,"High School","New York",Salaried,1,1,23,senior,no,no
49,64110,21224,365,16,Male,Bachelors,"San Francisco",Self-Employed,0,1,33,middle_age,no,no
21,57442,15897,400,26,Male,Bachelors,"New York",Unemployed,0,1,27,young,no,no
47,50664,23909,330,4,Male,"High School",Houston,Unemployed,0,1,47,middle_age,no,no
54,52873,6123,490,6,Female,Bachelors,Houston,Salaried,0,0,11,middle_age,no,no
40,41604,11020,714,24,Female,"High School",Houston,Salaried,1,0,26,adulting,no,no
56,47091,20413,799,7,Male,"High School",Houston,Unemployed,0,1,43,middle_age,no,no
62,40050,31757,345,33,Female,Bachelors,Chicago,Unemployed,0,0,79,senior,no,no
32,45578,23028,388,3,Female,Bachelors,Houston,Salaried,0,0,50,adulting,no,no
60,70193,15285,674,11,Female,Bachelors,"San Francisco",Unemployed,0,0,21,middle_age,no,no
46,33832,8084,545,30,Male,PhD,Houston,Unemployed,0,1,23,middle_age,no,no
53,39669,14817,556,10,Male,Bachelors,Chicago,Self-Employed,0,1,37,middle_age,no,no
30,31186,19660,651,36,Male,Bachelors,"San Francisco",Unemployed,0,1,63,young,no,no
49,27936,1138,575,35,Male,Masters,Chicago,Unemployed,0,1,4,middle_age,no,no
24,47198,10293,636,21,Male,"High School",Chicago,Unemployed,0,1,21,young,no,no
68,40736,14100,825,0,Male,"High School","San Francisco",Salaried,1,1,34,senior,no,no
39,76425,17941,600,3,Female,Bachelors,Chicago,Self-Employed,0,0,23,adulting,no,no
45,45757,19565,376,35,Female,Bachelors,Houston,Salaried,0,0,42,adulting,no,no
19,69341,15113,810,7,Female,PhD,"New York",Self-Employed,1,0,21,young,no,no
59,64520,24047,529,24,Female,Masters,"New York",Self-Employed,0,0,37,middle_age,no,no
62,46866,20998,331,27,Female,"High School","New York",Unemployed,0,0,44,senior,no,no
23,81652,17039,357,37,Male,"High School","San Francisco",Self-Employed,0,1,20,young,no,no
45,54028,25150,403,35,Male,Bachelors,"San Francisco",Self-Employed,0,1,46,adulting,no,no
45,72695,24496,611,35,Female,Bachelors,"San Francisco",Unemployed,0,0,33,adulting,no,no
61,70949,8370,366,3,Male,Masters,"New York",Unemployed,0,1,11,senior,no,no
61,56220,19744,673,12,Male,"High School","New York",Self-Employed,1,1,35,senior,no,no
37,61267,27122,534,37,Male,Masters,"San Francisco",Salaried,0,1,44,adulting,no,no
47,59361,28460,411,24,Male,"High School","New York",Self-Employed,0,1,47,middle_age,no,no
28,32836,22967,688,2,Male,Bachelors,Chicago,Salaried,0,1,69,young,no,no
45,50859,18134,707,31,Female,Masters,Chicago,Salaried,1,0,35,adulting,no,no
42,66114,23371,575,38,Female,PhD,"New York",Self-Employed,0,0,35,adulting,no,no
56,72893,26462,538,0,Female,Bachelors,"San Francisco",Salaried,0,0,36,middle_age,no,no
50,39190,20927,594,10,Male,PhD,Houston,Self-Employed,0,1,53,middle_age,no,no
18,49738,21829,411,1,Male,PhD,Houston,Salaried,0,1,43,,no,no
44,49738,18002,387,4,Male,PhD,"New York",Salaried,0,1,36,adulting,no,no
69,48232,9306,775,21,Male,"High School",Houston,Self-Employed,1,1,19,senior,no,no
30,55340,18605,603,12,Female,PhD,"San Francisco",Unemployed,0,0,33,young,no,no
58,49738,14583,604,22,Male,"High School",Chicago,Unemployed,0,1,29,middle_age,no,no
20,58121,14609,589,30,Female,Masters,Chicago,Self-Employed,0,0,25,young,no,no
56,71626,31471,507,34,Female,Bachelors,"San Francisco",Self-Employed,0,0,43,middle_age,no,no
23,61762,27612,669,37,Female,"High School",Houston,Unemployed,0,0,44,young,no,no
25,54659,6452,519,34,Female,"High School","New York",Unemployed,0,0,11,young,no,no
44,77969,11321,530,12,Male,Masters,Chicago,Salaried,0,1,14,adulting,no,no
26,66649,17092,648,6,Male,Masters,Houston,Salaried,1,1,25,young,no,no
54,48614,14875,554,4,Female,Bachelors,Houston,Salaried,0,0,30,middle_age,no,no
50,31743,22539,751,28,Male,Masters,Chicago,Unemployed,0,1,71,middle_age,no,no
68,35183,10051,441,7,Male,"High School",Chicago,Self-Employed,0,1,28,senior,no,no
59,63998,27668,368,7,Male,Bachelors,"New York",Salaried,0,1,43,middle_age,no,no
61,40545,19648,388,6,Female,Bachelors,"San Francisco",Self-Employed,0,0,48,senior,no,no
41,34879,17276,435,18,Female,Bachelors,Houston,Unemployed,0,0,49,adulting,no,no
32,38629,19885,822,38,Female,PhD,"New York",Salaried,0,0,51,adulting,no,no
49,39689,16660,741,22,Female,PhD,Chicago,Unemployed,0,0,41,middle_age,no,no
49,62760,3755,337,35,Female,"High School","San Francisco",Self-Employed,0,0,5,middle_age,no,no
41,47649,20095,507,31,Female,PhD,"San Francisco",Salaried,0,0,42,adulting,no,no
58,29414,17434,509,3,Female,Masters,Houston,Self-Employed,0,0,59,middle_age,no,no
69,50466,12364,812,29,Male,Bachelors,"San Francisco",Self-Employed,1,1,24,senior,no,no
66,53334,28779,659,38,Female,"High School",Chicago,Salaried,1,0,53,senior,no,no
66,42810,25356,300,4,Male,Masters,Chicago,Salaried,1,1,59,senior,no,no
69,67338,39511,680,2,Female,Bachelors,Chicago,Unemployed,0,0,58,senior,no,no
29,43686,26679,836,21,Male,Masters,"New York",Salaried,1,1,61,young,no,no
56,66625,14853,693,27,Male,PhD,Chicago,Salaried,0,1,22,middle_age,no,no
19,58952,12754,349,21,Male,Masters,"New York",Salaried,0,1,21,young,no,no
20,63899,16046,695,21,Male,PhD,Chicago,Salaried,1,1,25,young,no,no
66,33522,14667,331,33,Female,Bachelors,Chicago,Salaried,0,0,43,senior,no,no
54,51475,20870,844,28,Female,"High School","San Francisco",Unemployed,0,0,40,middle_age,no,no
66,49208,7690,533,12,Female,PhD,Houston,Self-Employed,0,0,15,senior,no,no
34,28670,25178,325,6,Female,PhD,Chicago,Unemployed,0,0,87,adulting,no,no
66,66576,20730,733,9,Female,Bachelors,"San Francisco",Self-Employed,1,0,31,senior,no,no
19,37739,24260,360,27,Female,Bachelors,"San Francisco",Salaried,0,0,64,young,no,no
19,40856,10847,740,3,Female,Bachelors,Houston,Unemployed,0,0,26,young,no,no
45,34800,21974,429,31,Female,PhD,"San Francisco",Self-Employed,0,0,63,adulting,no,no
40,60518,30393,653,21,Female,PhD,"San Francisco",Self-Employed,1,0,50,adulting,no,no
54,27111,13116,497,19,Female,PhD,Houston,Salaried,0,0,48,middle_age,no,no
49,59268,12897,670,19,Female,Bachelors,"New York",Salaried,1,0,21,middle_age,no,no
50,65668,25696,446,5,Male,Bachelors,Houston,Self-Employed,0,1,39,middle_age,no,no
18,58058,12248,797,8,Male,"High School",Houston,Unemployed,0,1,21,,no,no
36,60689,18134,347,27,Male,Masters,Chicago,Self-Employed,0,1,29,adulting,no,no
19,61393,31806,471,12,Male,PhD,Chicago,Unemployed,0,1,51,young,no,no
61,35759,13011,614,30,Male,PhD,"New York",Unemployed,0,1,36,senior,no,no
43,71521,32356,675,38,Female,"High School",Houston,Self-Employed,1,0,45,adulting,no,no
49,43099,17314,832,13,Female,Bachelors,Houston,Unemployed,0,0,40,middle_age,no,no
23,49004,11030,719,21,Male,Masters,"New York",Self-Employed,1,1,22,young,no,no
49,45010,24830,695,36,Female,"High School",Chicago,Self-Employed,1,0,55,middle_age,no,no
21,57373,20862,821,23,Male,"High School",Houston,Salaried,1,1,36,young,no,no
28,41929,20105,486,7,Female,"High School","New York",Self-Employed,0,0,47,young,no,no
34,51004,13850,332,14,Female,"High School",Chicago,Self-Employed,0,0,27,adulting,no,no
55,31470,20804,368,5,Male,PhD,"San Francisco",Salaried,0,1,66,middle_age,no,no
41,67470,3459,490,22,Male,Masters,"New York",Salaried,0,1,5,adulting,no,no
22,60061,21750,400,24,Male,PhD,"New York",Unemployed,0,1,36,young,no,no
69,45616,30378,784,30,Female,"High School",Houston,Unemployed,0,0,66,senior,no,no
51,42963,5877,584,28,Male,Masters,"San Francisco",Salaried,0,1,13,middle_age,no,no
23,59669,16746,689,22,Female,"High School",Chicago,Salaried,1,0,28,young,no,no
39,39391,13003,459,9,Female,Bachelors,"San Francisco",Salaried,1,0,33,adulting,no,no
28,51880,7912,346,8,Female,"High School",Houston,Self-Employed,0,0,15,young,no,no
65,67421,3577,458,12,Female,"High School",Houston,Self-Employed,0,0,5,senior,no,no
33,37831,10553,745,31,Male,Bachelors,Chicago,Self-Employed,0,1,27,adulting,no,no
50,49738,18061,822,0,Male,PhD,Chicago,Salaried,1,1,36,middle_age,no,no
26,54736,29193,454,0,Male,Bachelors,Chicago,Unemployed,0,1,53,young,no,no
23,48540,7818,638,36,Male,"High School",Houston,Unemployed,0,1,16,young,no,no
33,42443,22355,664,39,Female,"High School",Chicago,Self-Employed,1,0,52,adulting,no,no
46,68222,21757,447,17,Male,Bachelors,Chicago,Self-Employed,0,1,31,middle_age,no,no
20,41036,33376,443,35,Male,Masters,Chicago,Salaried,0,1,81,young,no,no
37,22819,24568,402,30,Male,Bachelors,"New York",Salaried,0,1,107,adulting,no,no
53,49738,25029,392,0,Male,"High School",Chicago,Unemployed,0,1,50,middle_age,no,no
36,31980,25594,585,35,Female,PhD,Houston,Unemployed,0,0,80,adulting,no,no
43,60378,12606,723,8,Female,Bachelors,"New York",Salaried,1,0,20,adulting,no,no
20,70024,15417,418,21,Female,Masters,Houston,Unemployed,0,0,22,young,no,no
36,59446,28935,328,27,Female,"High School","San Francisco",Unemployed,0,0,48,adulting,no,no
37,66071,3594,810,25,Male,Bachelors,"New York",Self-Employed,1,1,5,adulting,no,no
49,80301,14542,329,9,Female,"High School",Chicago,Salaried,0,0,18,middle_age,no,no
24,64501,9354,665,2,Male,Bachelors,"New York",Salaried,1,1,14,young,no,no
69,54959,21874,437,1,Male,Bachelors,Houston,Salaried,0,1,39,senior,no,no
58,74509,16627,774,36,Male,Masters,"New York",Self-Employed,1,1,22,middle_age,no,no
50,76322,25008,691,30,Male,Bachelors,"San Francisco",Salaried,1,1,32,middle_age,no,no
57,76532,19128,734,32,Female,Masters,Chicago,Unemployed,0,0,24,middle_age,no,no
56,42618,7631,533,31,Female,PhD,Chicago,Self-Employed,0,0,17,middle_age,no,no
35,29690,8001,354,11,Male,Masters,"San Francisco",Self-Employed,0,1,26,adulting,no,no
57,41702,19952,591,2,Female,Masters,Houston,Salaried,0,0,47,middle_age,no,no
18,60555,13831,611,25,Female,Masters,"New York",Unemployed,0,0,22,,no,no
28,52387,15739,847,13,Male,Bachelors,Houston,Salaried,1,1,30,young,no,no
45,46903,27507,388,11,Male,Masters,Houston,Unemployed,0,1,58,adulting,no,no
42,58407,26072,511,25,Female,Bachelors,Houston,Salaried,0,0,44,adulting,no,no
67,27938,34382,617,15,Male,Bachelors,Chicago,Unemployed,0,1,123,senior,no,no
40,52118,17469,764,7,Female,Masters,"New York",Unemployed,0,0,33,adulting,no,no
48,66777,14871,386,27,Male,Bachelors,Chicago,Unemployed,0,1,22,middle_age,no,no
47,58240,23346,708,6,Male,Masters,Chicago,Self-Employed,1,1,40,middle_age,no,no
59,60377,15514,539,14,Male,PhD,Chicago,Salaried,0,1,25,middle_age,no,no
52,73961,15776,356,35,Male,Bachelors,"New York",Salaried,0,1,21,middle_age,no,no
24,49008,18383,412,7,Female,Masters,"San Francisco",Salaried,0,0,37,young,no,no
33,40204,33222,369,9,Female,"High School",Chicago,Self-Employed,0,0,82,adulting,no,no
43,67843,25632,575,14,Female,PhD,Chicago,Unemployed,0,0,37,adulting,no,no
65,67567,26471,575,17,Female,"High School",Chicago,Self-Employed,0,0,39,senior,no,no
69,58374,32863,532,36,Male,Masters,"New York",Self-Employed,0,1,56,senior,no,no
66,47594,27220,353,34,Male,Bachelors,"New York",Unemployed,0,1,57,senior,no,no
19,50021,10949,556,1,Female,Masters,Houston,Salaried,0,0,21,young,no,no
18,30848,27099,389,21,Female,Bachelors,Chicago,Self-Employed,0,0,87,,no,no
65,66694,28114,575,14,Female,Masters,Chicago,Unemployed,0,0,42,senior,no,no
29,66165,25215,707,36,Female,Masters,"New York",Unemployed,0,0,38,young,no,no
22,30325,18436,568,38,Female,Bachelors,"New York",Salaried,0,0,60,young,no,no
54,63014,24371,665,35,Male,Bachelors,Chicago,Unemployed,0,1,38,middle_age,no,no
49,56062,19838,650,4,Female,Masters,"San Francisco",Unemployed,0,0,35,middle_age,no,no
26,34670,12175,598,14,Female,"High School",Houston,Unemployed,0,0,35,young,no,no
58,31910,14163,458,26,Male,PhD,Houston,Salaried,0,1,44,middle_age,no,no
52,55602,25630,786,15,Male,"High School",Chicago,Salaried,1,1,46,middle_age,no,no
36,44034,12753,825,35,Female,"High School",Houston,Unemployed,0,0,28,adulting,no,no
65,77299,13508,654,37,Female,"High School",Houston,Unemployed,0,0,17,senior,no,no
33,64289,26027,700,17,Female,"High School",Chicago,Salaried,1,0,40,adulting,no,no
20,57105,21070,704,34,Male,Bachelors,Houston,Salaried,1,1,36,young,no,no
37,57846,24618,575,24,Female,"High School","New York",Salaried,0,0,42,adulting,no,no
41,69963,10168,691,21,Female,PhD,Chicago,Self-Employed,1,0,14,adulting,no,no
50,62698,24395,651,30,Male,Bachelors,"New York",Salaried,1,1,38,middle_age,no,no
41,57496,14720,587,36,Male,"High School",Chicago,Unemployed,0,1,25,adulting,no,no
69,35296,11865,822,33,Male,Bachelors,"New York",Salaried,0,1,33,senior,no,no
